t,t_global,regime,switch,a,pi_max,entropy,margin,zone_id,x,y,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
145,144,0,0,3,0.9825530052185059,0.11066336184740067,0.9756260514259338,2,14,7,-0.7293550968170166,0.03302587941288948,-0.0242522731423378,0.6390501260757446,-0.9474782347679138,0.12405182421207428,0.6246756315231323,-0.9622976183891296,0.5804687738418579,1.2573848962783813,-0.4757535755634308,-0.004902777262032032
146,145,0,0,3,0.9867520332336426,0.08764924108982086,0.9814579486846924,2,14,7,-0.7307932376861572,0.0330619141459465,-0.024233432486653328,0.6400853991508484,-0.9473779797554016,0.1247788518667221,0.6247612237930298,-0.9621369242668152,0.5793461799621582,1.2566440105438232,-0.47565364837646484,-0.004253792110830545
147,146,0,0,3,0.972423791885376,0.16230425238609314,0.9615820646286011,2,14,7,-0.7373766899108887,0.03386687859892845,-0.022012321278452873,0.6389501094818115,-0.9473012685775757,0.1256777048110962,0.6256187558174133,-0.9616818428039551,0.5773613452911377,1.2559925317764282,-0.4728797376155853,-0.0034992052242159843
148,147,0,0,3,0.9914275407791138,0.06039613485336304,0.9879987239837646,2,14,7,-0.7341825366020203,0.03320295363664627,-0.023487495258450508,0.6410498023033142,-0.9473580718040466,0.12627841532230377,0.6246017813682556,-0.96186363697052,0.5769785642623901,1.2561469078063965,-0.4747529923915863,-0.0032045464031398296
149,148,0,0,3,0.9929534792900085,0.05101620405912399,0.9902237057685852,2,14,7,-0.7269717454910278,0.032173994928598404,-0.025809762999415398,0.6412678956985474,-0.9474059343338013,0.12586383521556854,0.6232286691665649,-0.9622807502746582,0.5791305899620056,1.2578227519989014,-0.4776837229728699,-0.004133428446948528
150,149,0,0,3,0.9837161302566528,0.10440021753311157,0.9772292375564575,2,14,7,-0.7305597066879272,0.03257545083761215,-0.02482970803976059,0.6411038637161255,-0.947237491607666,0.12653066217899323,0.6238051652908325,-0.9619580507278442,0.5781339406967163,1.2568897008895874,-0.4765678644180298,-0.0035556142684072256
151,150,0,0,3,0.9888684749603271,0.0755830928683281,0.9844880700111389,2,14,7,-0.7299997806549072,0.03259216994047165,-0.025019437074661255,0.6409933567047119,-0.9473909735679626,0.12678973376750946,0.6235145926475525,-0.9620733261108398,0.5782114267349243,1.2571789026260376,-0.47689032554626465,-0.0034906163346022367
152,151,0,0,3,0.9904260039329529,0.06644715368747711,0.9867285490036011,2,14,7,-0.727875292301178,0.03293494135141373,-0.024843506515026093,0.6373424530029297,-0.9474292397499084,0.12595459818840027,0.6235650777816772,-0.9622926712036133,0.5808538198471069,1.258541226387024,-0.47763556241989136,-0.004214334301650524
153,152,0,0,3,0.9896270036697388,0.07114027440547943,0.9854990839958191,2,14,7,-0.7276122570037842,0.03289157524704933,-0.024981223046779633,0.6377015709877014,-0.9474418759346008,0.12622100114822388,0.6233752965927124,-0.9623053669929504,0.5807942748069763,1.2583374977111816,-0.4780607521533966,-0.004021812696009874
154,153,0,0,3,0.9896773099899292,0.07085389643907547,0.9856020212173462,2,14,7,-0.7272828817367554,0.03304760158061981,-0.0248565673828125,0.6365922689437866,-0.947460412979126,0.126166433095932,0.6233572959899902,-0.9623490571975708,0.5816046595573425,1.258538007736206,-0.4783474802970886,-0.004085848573595285
